IDCUSTOMER,GENDER,CITY,COUNTRY,FIRST_DEPOSIT_AMOUNT,REGISTRATION_DATE,DEPOSIT_DATE
5075649,M,ankara,Turkey,100.0,2009-01-10,2022-06-05
5176235,M,elazığ,Turkey,400.0,2009-03-01,2022-02-11
5249140,M,izmir,Turkey,200.0,2009-04-06,2022-05-02
5300998,M,Üsküdar,Turkey,100.0,2009-05-02,2022-02-11
5371454,M,sakarya,Turkey,880.0,2009-06-07,2022-05-29
5636637,M,ANKARA,Turkey,100.0,2009-10-29,2022-03-15
5670349,M,hatay antakya,Turkey,50.0,2009-11-10,2022-03-16
5731391,M,İstanbul,Turkey,50.0,2009-12-03,2022-03-08
5769004,M,antalya,Turkey,100.0,2009-12-17,2022-07-07
5840612,M,tekirdağ çorlu,Turkey,50.0,2010-01-17,2022-07-06
5871190,M,istanbul kadiköy,Turkey,50.0,2010-01-29,2022-03-18
5928887,M,milas,Turkey,400.0,2010-02-20,2022-02-13
5956458,M,eskısehır,Turkey,50.0,2010-03-05,2022-02-17
6089455,M,Kahramanmaraş,Turkey,59.0,2010-05-20,2022-04-10
6308160,M,KIRKLARELİ LULEBURGAZ,Turkey,50.0,2010-09-01,2022-02-01
6312643,M,Hatay,Turkey,1500.0,2010-09-04,2022-03-17
6314492,M,Mersin,Turkey,100.0,2010-09-05,2022-06-11
6461258,M,yalova,Turkey,250.0,2010-11-08,2022-04-09
6534795,M,SAKARYA AKYAZI,Turkey,100.0,2010-12-15,2022-04-24
6539001,M,İstinye Sarıyer,Turkey,70.0,2010-12-18,2022-02-11
6555481,M,BÜYÜKÇEKMECE,Turkey,50.0,2010-12-29,2022-03-09
6599145,M,hatay,Turkey,500.0,2011-01-23,2022-04-15
6612345,M,İSTANBUL,Turkey,100.0,2011-01-30,2022-07-10
6656175,F,konya,Turkey,50.0,2011-02-18,2022-04-04
6661675,M,istanbul fatih,Turkey,300.0,2011-02-20,2022-03-01
6685691,M,Ankara,Turkey,50.0,2011-03-02,2022-08-07
8191413,M,MERKEZ,Turkey,250.0,2011-03-13,2022-06-26
8197046,M,bayraklı,Turkey,244.68,2011-04-11,2022-05-17
8200942,M,istanbul,Turkey,250.0,2011-04-27,2022-04-04
8203754,M,kayseri,Turkey,100.0,2011-05-09,2022-03-31
8208829,M,merkez,Turkey,50.0,2011-05-23,2022-03-03
6848572,M,lara/antalya,Turkey,1000.0,2011-05-27,2022-05-02
8215861,M,Keçiören,Turkey,100.0,2011-06-01,2022-03-03
6882558,M,SİNCAN/ANKARA,Turkey,100.0,2011-06-30,2022-05-14
6885581,M,İstanbul,Turkey,100.0,2011-07-03,2022-06-03
8183134,M,bahçelievler,Turkey,100.0,2011-08-10,2022-07-29
6934376,M,istanbul maltepe,Turkey,300.0,2011-08-16,2022-04-24
6941399,M,izmir menemen,Turkey,100.0,2011-08-21,2022-06-03
8180240,M,gebze,Turkey,100.0,2011-08-21,2022-04-30
8218459,M,Rize,Turkey,50.0,2011-08-28,2022-02-24
8220454,M,yıldırım,Turkey,650.0,2011-09-03,2022-04-02
7002700,M,sanliurfa,Turkey,50.0,2011-09-24,2022-03-06
8241324,M,mecidiyeköy,Turkey,100.0,2011-10-01,2022-02-08
7023006,M,van,Turkey,150.0,2011-10-05,2022-04-06
8224288,M,esenler,Turkey,100.0,2011-10-16,2022-04-13
7059192,M,EDİRNE,Turkey,250.0,2011-10-25,2022-02-12
7070064,M,beşiktaş/istanbul,Turkey,677.0,2011-10-30,2022-06-12
7110950,F,alsancak,Turkey,499.0,2011-11-21,2022-03-13
7115164,M,konya selcuklu,Turkey,400.0,2011-11-23,2022-07-07
7122591,M,muğla,Turkey,50.0,2011-11-27,2022-03-02
7134049,M,istanbul / zeytinburnu,Turkey,1000.0,2011-12-03,2022-04-03
7143160,M,adana/çukurova,Turkey,390.88,2011-12-08,2022-02-21
